x1,x2,y
-0.7 , -0.27 , 0
0.33 , -0.53 , 0
-0.05 , -0.58 , 0
-0.38 , 0.49 , 0
0.4 , -0.87 , 0
-0.0 , -0.04 , 0
-0.07 , 0.22 , 0
0.13 , 0.0 , 0
0.49 , 0.28 , 0
0.19 , -0.02 , 0
0.32 , 0.1 , 0
-0.23 , 0.05 , 0
0.1 , -0.14 , 0
0.39 , 0.44 , 0
-0.2 , 0.04 , 0
0.83 , 0.25 , 0
0.48 , -0.78 , 0
0.23 , 0.52 , 0
0.42 , 0.24 , 0
-0.18 , 0.16 , 0
-1.32 , 0.04 , 1
-1.18 , -0.59 , 1
-0.12 , 1.49 , 1
1.12 , 0.46 , 1
0.41 , 0.95 , 1
-1.28 , -0.08 , 1
-1.76 , -0.12 , 1
-0.46 , 1.12 , 1
1.82 , 0.68 , 1
-0.59 , -1.33 , 1
0.17 , -1.51 , 1
-1.31 , -1.51 , 1
1.05 , -0.12 , 1
1.25 , -0.26 , 1
1.01 , -1.2 , 1
-1.31 , 1.3 , 1
1.97 , -0.21 , 1
-0.69 , -1.64 , 1
0.94 , 0.89 , 1
1.22 , 0.49 , 1
-1.02 , -1.1 , 1
0.27 , -1.0 , 1
-0.05 , 1.27 , 1
-0.62 , 1.86 , 1
0.89 , -0.67 , 1
0.69 , -1.36 , 1
0.82 , -0.63 , 1
-0.99 , -1.19 , 1
-0.34 , -0.98 , 1
-0.97 , -1.15 , 1
