Survived,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_C,Pclass_Q,Pclass_S,Pclass_U,Pclass_1,Pclass_2,Pclass_3,"Categorized_age_(0, 10]","Categorized_age_(10, 20]","Categorized_age_(20, 30]","Categorized_age_(30, 40]","Categorized_age_(40, 50]","Categorized_age_(50, 60]","Categorized_age_(60, 70]","Categorized_age_(70, 80]"
0,1,0,7.25,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,71.2833,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,7.925,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,53.1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,8.4583,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,51.8625,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,3,1,21.075,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,2,11.1333,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,30.0708,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,1,16.7,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,26.55,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,1,5,31.275,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.8542,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,16.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,4,1,29.125,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,18.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,7.225,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,26.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,8.0292,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,35.5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,3,1,21.075,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,1,5,31.3875,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.225,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,3,2,263.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,7.8792,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,27.7208,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,146.5208,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,7.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,10.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,82.1708,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,52.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,7.2292,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,2,0,18.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,1,0,11.2417,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,0,9.475,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,21.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,7.8958,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,2,41.5792,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,7.8792,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,15.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,7.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,2,0,21.6792,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,17.8,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,4,1,39.6875,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
